arquivo,cluster,cluster_alinhado,classe_real
100a_H0_H1.csv,1,0,classeA
100b_H0_H1.csv,1,0,classeB
10a_H0_H1.csv,0,1,classeA
10b_H0_H1.csv,0,1,classeB
11a_H0_H1.csv,1,0,classeA
11b_H0_H1.csv,1,0,classeB
12a_H0_H1.csv,0,1,classeA
12b_H0_H1.csv,0,1,classeB
13a_H0_H1.csv,1,0,classeA
13b_H0_H1.csv,1,0,classeB
14a_H0_H1.csv,1,0,classeA
14b_H0_H1.csv,0,1,classeB
15a_H0_H1.csv,0,1,classeA
15b_H0_H1.csv,0,1,classeB
16a_H0_H1.csv,0,1,classeA
16b_H0_H1.csv,0,1,classeB
17a_H0_H1.csv,0,1,classeA
17b_H0_H1.csv,0,1,classeB
18a_H0_H1.csv,0,1,classeA
18b_H0_H1.csv,0,1,classeB
19a_H0_H1.csv,1,0,classeA
19b_H0_H1.csv,1,0,classeB
1a_H0_H1.csv,1,0,classeA
1b_H0_H1.csv,1,0,classeB
20a_H0_H1.csv,1,0,classeA
20b_H0_H1.csv,0,1,classeB
21a_H0_H1.csv,0,1,classeA
21b_H0_H1.csv,0,1,classeB
22a_H0_H1.csv,0,1,classeA
22b_H0_H1.csv,0,1,classeB
23a_H0_H1.csv,0,1,classeA
23b_H0_H1.csv,0,1,classeB
24a_H0_H1.csv,0,1,classeA
24b_H0_H1.csv,0,1,classeB
25a_H0_H1.csv,0,1,classeA
25b_H0_H1.csv,0,1,classeB
26a_H0_H1.csv,1,0,classeA
26b_H0_H1.csv,1,0,classeB
27a_H0_H1.csv,1,0,classeA
27b_H0_H1.csv,1,0,classeB
28a_H0_H1.csv,1,0,classeA
28b_H0_H1.csv,1,0,classeB
29a_H0_H1.csv,0,1,classeA
29b_H0_H1.csv,0,1,classeB
2a_H0_H1.csv,1,0,classeA
2b_H0_H1.csv,0,1,classeB
30a_H0_H1.csv,0,1,classeA
30b_H0_H1.csv,0,1,classeB
31a_H0_H1.csv,1,0,classeA
31b_H0_H1.csv,1,0,classeB
