Barcode 1,Barcode 2,Distância Bottleneck
100a,100b,25.000000
100a,10a,19.000000
100a,10b,25.000000
100a,11a,26.000000
100a,11b,31.000000
100a,12a,47.000000
100a,12b,54.000000
100a,13a,31.000000
100a,13b,25.000000
100a,14a,65.000000
100a,14b,48.000000
100a,15a,30.000000
100a,15b,24.000000
100a,16a,26.000000
100a,16b,27.000000
100a,17a,37.000000
100a,17b,32.000000
100a,18a,32.000000
100a,18b,32.000000
100a,19a,52.000000
100a,19b,48.000000
100a,1a,28.000000
100a,1b,31.000000
100a,20a,33.000000
100a,20b,36.000000
100a,21a,51.000000
100a,21b,26.000000
100a,22a,37.000000
100a,22b,24.000000
100a,23a,50.000000
100a,23b,34.000000
100a,24a,39.000000
100a,24b,35.000000
100a,25a,19.000000
100a,25b,45.000000
100a,26a,36.000000
100a,26b,36.000000
100a,27a,38.000000
100a,27b,37.000000
100a,28a,26.000000
100a,28b,34.000000
100a,29a,37.000000
100a,29b,42.000000
100a,2a,35.000000
100a,2b,32.000000
100a,30a,32.000000
100a,30b,39.000000
100a,31a,34.000000
100a,31b,30.000000
100a,32a,26.000000
100a,32b,22.000000
100a,33a,44.000000
100a,33b,36.000000
100a,34a,25.000000
100a,34b,38.000000
100a,35a,46.000000
100a,35b,20.000000
100a,36a,39.000000
100a,36b,48.000000
100a,37a,32.000000
100a,37b,28.000000
100a,38a,21.000000
100a,38b,36.000000
100a,39a,16.000000
100a,39b,44.000000
100a,3a,35.000000
100a,3b,30.000000
100a,40a,27.000000
100a,40b,28.000000
100a,41a,34.000000
100a,41b,58.000000
100a,42a,40.000000
100a,42b,26.000000
100a,43a,19.000000
100a,43b,33.000000
100a,44a,26.000000
100a,44b,31.000000
100a,45a,25.000000
100a,45b,33.000000
100a,46a,17.000000
100a,46b,29.000000
100a,47a,46.000000
100a,47b,40.000000
100a,48a,23.000000
100a,48b,30.000000
100a,49a,48.000000
100a,49b,41.000000
100a,4a,24.000000
100a,4b,29.000000
100a,50a,16.000000
100a,50b,30.000000
100a,51a,23.000000
100a,51b,25.000000
100a,52a,29.000000
100a,52b,27.000000
100a,53a,23.000000
100a,53b,31.000000
100a,54a,34.000000
100a,54b,59.000000
100a,55a,25.000000
100a,55b,34.000000
100a,56a,46.000000
100a,56b,42.000000
100a,57a,22.000000
100a,57b,44.000000
100a,58a,26.000000
100a,58b,33.000000
100a,59a,30.000000
100a,59b,47.000000
100a,5a,41.000000
100a,5b,39.000000
100a,60a,24.000000
100a,60b,37.000000
100a,61a,30.000000
100a,61b,29.000000
100a,62a,19.000000
100a,62b,27.000000
100a,63a,38.000000
100a,63b,36.000000
100a,64a,36.000000
100a,64b,50.000000
100a,65a,40.000000
100a,65b,73.000000
100a,66a,27.000000
100a,66b,25.000000
100a,67a,39.000000
100a,67b,32.000000
100a,68a,52.000000
100a,68b,41.000000
100a,69a,29.000000
100a,69b,23.000000
100a,6a,33.000000
100a,6b,45.000000
100a,70a,27.000000
100a,70b,32.000000
100a,71a,44.000000
100a,71b,31.000000
100a,72a,21.000000
100a,72b,34.000000
100a,73a,25.000000
100a,73b,21.000000
100a,74a,34.000000
100a,74b,21.000000
100a,75a,39.000000
100a,75b,37.000000
100a,76a,51.000000
100a,76b,35.000000
100a,77a,30.000000
100a,77b,74.000000
100a,78a,16.000000
100a,78b,33.000000
100a,79a,27.000000
100a,79b,39.000000
100a,7a,30.000000
100a,7b,36.000000
100a,80a,18.000000
100a,80b,22.000000
100a,81a,27.000000
100a,81b,27.000000
100a,82a,22.000000
100a,82b,30.000000
100a,83a,22.000000
100a,83b,49.000000
100a,84a,27.000000
100a,84b,23.000000
100a,85a,46.000000
100a,85b,24.000000
100a,86a,31.000000
100a,86b,36.000000
100a,87a,27.000000
100a,87b,35.000000
100a,88a,16.000000
100a,88b,38.000000
100a,89a,37.000000
100a,89b,36.000000
100a,8a,30.000000
100a,8b,36.000000
100a,90a,38.000000
100a,90b,33.000000
100a,91a,40.000000
100a,91b,28.000000
100a,92a,26.000000
100a,92b,38.000000
100a,93a,42.000000
100a,93b,30.000000
100a,94a,20.000000
100a,94b,19.000000
100a,95a,28.000000
100a,95b,46.000000
100a,96a,18.000000
100a,96b,43.000000
100a,97a,18.000000
100a,97b,49.000000
100a,98a,40.000000
100a,98b,55.000000
100a,99a,21.000000
100a,99b,23.000000
100a,9a,29.000000
100a,9b,24.000000
100b,10a,22.000000
100b,10b,25.500000
100b,11a,26.000000
100b,11b,34.000000
100b,12a,49.000000
100b,12b,64.000000
100b,13a,26.000000
100b,13b,29.000000
100b,14a,73.000000
100b,14b,55.500000
100b,15a,24.000000
100b,15b,32.000000
100b,16a,18.000000
100b,16b,26.000000
100b,17a,21.000000
100b,17b,23.000000
100b,18a,31.000000
100b,18b,28.000000
100b,19a,27.000000
100b,19b,27.000000
100b,1a,22.000000
100b,1b,22.000000
100b,20a,21.000000
100b,20b,24.000000
100b,21a,52.000000
100b,21b,33.000000
100b,22a,26.000000
100b,22b,25.500000
100b,23a,55.000000
100b,23b,30.000000
100b,24a,36.000000
100b,24b,43.000000
100b,25a,30.000000
100b,25b,32.000000
100b,26a,36.000000
100b,26b,35.000000
100b,27a,40.000000
100b,27b,30.000000
100b,28a,29.000000
100b,28b,30.000000
100b,29a,41.000000
100b,29b,34.000000
100b,2a,18.000000
100b,2b,20.000000
100b,30a,29.000000
100b,30b,38.000000
100b,31a,42.000000
100b,31b,14.000000
100b,32a,22.000000
100b,32b,30.000000
100b,33a,33.000000
100b,33b,27.000000
100b,34a,13.000000
100b,34b,16.000000
100b,35a,21.000000
100b,35b,15.000000
100b,36a,36.000000
100b,36b,49.000000
100b,37a,32.000000
100b,37b,26.000000
100b,38a,18.000000
100b,38b,35.000000
100b,39a,18.000000
100b,39b,27.000000
100b,3a,24.000000
100b,3b,23.000000
100b,40a,31.000000
100b,40b,30.000000
100b,41a,22.000000
100b,41b,50.000000
100b,42a,25.000000
100b,42b,34.000000
100b,43a,22.000000
100b,43b,22.000000
100b,44a,20.000000
100b,44b,29.500000
100b,45a,28.000000
100b,45b,25.000000
100b,46a,19.500000
100b,46b,30.000000
100b,47a,21.000000
100b,47b,25.000000
100b,48a,28.000000
100b,48b,28.000000
100b,49a,27.000000
100b,49b,20.000000
100b,4a,27.000000
100b,4b,26.000000
100b,50a,17.000000
100b,50b,27.000000
100b,51a,25.000000
100b,51b,29.000000
100b,52a,28.000000
100b,52b,26.000000
100b,53a,28.000000
100b,53b,34.000000
100b,54a,19.000000
100b,54b,45.000000
100b,55a,33.000000
100b,55b,34.000000
100b,56a,38.000000
