arquivo,cluster
100a_H0_H1_landscape.csv,1
100b_H0_H1_landscape.csv,1
10a_H0_H1_landscape.csv,1
10b_H0_H1_landscape.csv,0
11a_H0_H1_landscape.csv,1
11b_H0_H1_landscape.csv,1
12a_H0_H1_landscape.csv,1
12b_H0_H1_landscape.csv,0
13a_H0_H1_landscape.csv,1
13b_H0_H1_landscape.csv,1
14a_H0_H1_landscape.csv,0
14b_H0_H1_landscape.csv,0
15a_H0_H1_landscape.csv,0
15b_H0_H1_landscape.csv,0
16a_H0_H1_landscape.csv,0
16b_H0_H1_landscape.csv,0
17a_H0_H1_landscape.csv,1
17b_H0_H1_landscape.csv,0
18a_H0_H1_landscape.csv,0
18b_H0_H1_landscape.csv,0
19a_H0_H1_landscape.csv,1
19b_H0_H1_landscape.csv,1
1a_H0_H1_landscape.csv,1
1b_H0_H1_landscape.csv,1
20a_H0_H1_landscape.csv,1
20b_H0_H1_landscape.csv,0
21a_H0_H1_landscape.csv,0
21b_H0_H1_landscape.csv,0
22a_H0_H1_landscape.csv,1
22b_H0_H1_landscape.csv,0
23a_H0_H1_landscape.csv,0
23b_H0_H1_landscape.csv,1
24a_H0_H1_landscape.csv,0
24b_H0_H1_landscape.csv,0
25a_H0_H1_landscape.csv,0
25b_H0_H1_landscape.csv,0
26a_H0_H1_landscape.csv,1
26b_H0_H1_landscape.csv,0
27a_H0_H1_landscape.csv,1
27b_H0_H1_landscape.csv,0
28a_H0_H1_landscape.csv,1
28b_H0_H1_landscape.csv,1
29a_H0_H1_landscape.csv,1
29b_H0_H1_landscape.csv,0
2a_H0_H1_landscape.csv,1
2b_H0_H1_landscape.csv,1
30a_H0_H1_landscape.csv,0
30b_H0_H1_landscape.csv,0
31a_H0_H1_landscape.csv,1
31b_H0_H1_landscape.csv,1
32a_H0_H1_landscape.csv,1
32b_H0_H1_landscape.csv,0
33a_H0_H1_landscape.csv,1
33b_H0_H1_landscape.csv,1
34a_H0_H1_landscape.csv,1
34b_H0_H1_landscape.csv,1
