k,silhouette_score
2,0.09337613030707682
3,0.06932611432018508
4,0.07414741330571914
5,0.049828697512781156
6,0.04952857752976421
7,0.04709728394404845
8,0.06309103032439635
9,0.04694165663721088
10,0.048633555173578584
11,0.04291024623309136
12,0.03816772385399
13,0.03616014671154258
14,0.03868159819977444
15,0.036374020951645235
16,0.03599728180466096
17,0.0360062987248016
18,0.03710177299322573
19,0.0352063932349077
20,0.03518420507967325
21,0.04307163260623627
22,0.04141359303558193
23,0.039277143954966114
24,0.03796029152802529
25,0.03807911009729275
